,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_parncutt_prior_mu,params_parncutt_prior_sigma,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.4875674907644217,2023-04-04 18:04:19.386832,2023-04-04 18:04:23.388390,0 days 00:00:04.001558,0.32576201016133116,228,23,64,1.2723804809289054,9.947619666664782,5.260011916878063,COMPLETE
1,1,0.33169934640522875,2023-04-04 18:04:23.388705,2023-04-04 18:04:27.014262,0 days 00:00:03.625557,0.34074958215311746,256,41,264,7.839398104849724,4.770056548664604,9.617390403977854,COMPLETE
2,2,0.41439329354930377,2023-04-04 18:04:27.014584,2023-04-04 18:04:29.189292,0 days 00:00:02.174708,0.5432317087533243,214,30,84,7.987431291800118,6.98827408039442,2.6644265464831647,COMPLETE
3,3,0.4486359761295822,2023-04-04 18:04:29.189600,2023-04-04 18:04:32.519313,0 days 00:00:03.329713,0.28658631675184315,204,45,148,5.091170809598898,5.143589101394613,8.098804443396403,COMPLETE
4,4,0.3462631429383347,2023-04-04 18:04:32.519629,2023-04-04 18:04:37.828968,0 days 00:00:05.309339,0.2519582564323847,258,21,202,2.017211648327874,4.8054141385143,6.738317951818741,COMPLETE
5,5,0.23394430235862462,2023-04-04 18:04:37.829297,2023-04-04 18:04:39.419306,0 days 00:00:01.590009,0.7962146899066019,223,46,194,7.92229917612856,3.1376242294235306,5.10827275707906,COMPLETE
6,6,0.2975277067348679,2023-04-04 18:04:39.419624,2023-04-04 18:04:41.734539,0 days 00:00:02.314915,0.6884472464185547,285,27,188,5.768100417714259,4.845937403168529,1.7789000819882081,COMPLETE
7,7,0.3804347826086956,2023-04-04 18:04:41.734858,2023-04-04 18:04:43.338054,0 days 00:00:01.603196,0.799215925741985,222,40,148,0.23574707635152817,8.963933722517375,0.9378564240478762,COMPLETE
8,8,0.5023444160272804,2023-04-04 18:04:43.338372,2023-04-04 18:05:16.454637,0 days 00:00:33.116265,0.03185159978600161,190,32,204,1.669611976530763,7.446198629231209,9.094776883032194,COMPLETE
9,9,0.37070190394998576,2023-04-04 18:05:16.454951,2023-04-04 18:05:25.246365,0 days 00:00:08.791414,0.1528419341735048,251,13,245,2.3696563028970328,3.767801487833464,8.40792575034584,COMPLETE
10,10,0.5655015629440182,2023-04-04 18:05:25.246739,2023-04-04 18:05:41.750159,0 days 00:00:16.503420,0.04385896178472175,182,37,23,3.1357531250543884,0.622227272497291,9.207607676999483,COMPLETE
11,11,0.5803495311167945,2023-04-04 18:05:41.750475,2023-04-04 18:06:13.340396,0 days 00:00:31.589921,0.025474997860663984,181,36,14,3.2652901751234458,0.7950815334891228,9.937774195182444,COMPLETE
12,12,0.5803495311167945,2023-04-04 18:06:13.340731,2023-04-04 18:06:45.553422,0 days 00:00:32.212691,0.024987120743435887,180,36,11,3.3265855002519316,0.7915845296411074,9.901018060448703,COMPLETE
13,13,0.5557686842853083,2023-04-04 18:06:45.553743,2023-04-04 18:07:20.846122,0 days 00:00:35.292379,0.023920072149030854,197,50,17,3.8093064828103844,0.993570652567284,9.949303175287458,COMPLETE
14,14,0.26314293833475416,2023-04-04 18:07:20.846652,2023-04-04 18:07:22.196327,0 days 00:00:01.349675,0.9753166910735287,182,34,88,3.3387337219870186,1.8393414461661575,7.488154543176979,COMPLETE
15,15,0.3218954248366013,2023-04-04 18:07:22.196781,2023-04-04 18:07:31.015541,0 days 00:00:08.818760,0.1535058454546075,299,37,53,4.734873843204477,2.077812942679816,9.994665033147918,COMPLETE
16,16,0.44380505825518607,2023-04-04 18:07:31.015861,2023-04-04 18:07:33.639201,0 days 00:00:02.623340,0.4263867262439203,205,26,116,2.868628955177857,0.6196318937392837,6.93760102555998,COMPLETE
17,17,0.43400113668655865,2023-04-04 18:07:33.639518,2023-04-04 18:07:41.077304,0 days 00:00:07.437786,0.16265411820604048,242,13,12,4.1548609385630755,2.325858075879625,8.575384383908327,COMPLETE
18,18,0.5365870986075589,2023-04-04 18:07:41.077621,2023-04-04 18:09:37.442493,0 days 00:01:56.364872,0.011790406244888241,193,20,50,2.5053174373142952,2.988427642155025,7.915241391264098,COMPLETE
19,19,0.31699346405228757,2023-04-04 18:09:37.442987,2023-04-04 18:09:44.145271,0 days 00:00:06.702284,0.19209654632678025,271,35,114,3.518343401680715,1.5730337063605013,8.943178259275356,COMPLETE
20,20,0.27799090650753056,2023-04-04 18:09:44.145739,2023-04-04 18:09:46.782918,0 days 00:00:02.637179,0.4304065753683383,208,41,45,1.4442664402975733,1.1315331334111816,9.986354147342887,COMPLETE
21,21,0.555839727195226,2023-04-04 18:09:46.783426,2023-04-04 18:09:54.448391,0 days 00:00:07.664965,0.09679489153873949,181,37,26,3.12574466135035,1.2585580921427297,9.116193154135225,COMPLETE
22,22,0.5803495311167945,2023-04-04 18:09:54.448724,2023-04-04 18:10:03.556686,0 days 00:00:09.107962,0.08494922303341436,181,30,300,2.841723221777085,0.6716825507724148,9.075615958989077,COMPLETE
23,23,0.5169082125603864,2023-04-04 18:10:03.557146,2023-04-04 18:10:11.475114,0 days 00:00:07.917968,0.11054409254638123,196,28,300,4.052036556057202,0.5979074838602267,8.703976948654484,COMPLETE
24,24,0.4632708155726058,2023-04-04 18:10:11.475435,2023-04-04 18:10:15.188785,0 days 00:00:03.713350,0.2497327497510404,189,32,236,2.4884921442284136,2.262148428139733,9.96895175483667,COMPLETE
25,25,0.4973714123330492,2023-04-04 18:10:15.189119,2023-04-04 18:10:26.219006,0 days 00:00:11.029887,0.09802503583894154,234,30,119,0.9428417374352809,1.7706898152228776,7.463883706099079,COMPLETE
26,26,0.4096334185848252,2023-04-04 18:10:26.219339,2023-04-04 18:10:30.914750,0 days 00:00:04.695411,0.21966761002430935,201,17,279,2.006111412486053,0.539228725402429,9.246580576549563,COMPLETE
27,27,0.47797669792554703,2023-04-04 18:10:30.915070,2023-04-04 18:10:42.080542,0 days 00:00:11.165472,0.0973866240460079,215,24,81,2.926134122082647,2.784992730096787,8.326706967693617,COMPLETE
28,28,0.5217391304347826,2023-04-04 18:10:42.080868,2023-04-04 18:10:46.016669,0 days 00:00:03.935801,0.20559642667042194,187,45,36,3.7425283115169945,1.596871271309804,9.318848905209514,COMPLETE
29,29,0.4730747371412333,2023-04-04 18:10:46.017002,2023-04-04 18:12:56.623590,0 days 00:02:10.606588,0.010796216466547269,212,39,175,0.9142144134622008,3.735871975080591,6.146027609287726,COMPLETE
30,30,0.5510798522307474,2023-04-04 18:12:56.623927,2023-04-04 18:13:03.815924,0 days 00:00:07.191997,0.10888251666329463,180,33,223,2.6586340021277537,1.265470834822306,8.575159398095785,COMPLETE
31,31,0.5608837737993748,2023-04-04 18:13:03.816387,2023-04-04 18:13:14.412318,0 days 00:00:10.595931,0.07263621314334542,187,37,70,3.2276915395858308,0.6487642107842811,9.36983266057333,COMPLETE
32,32,0.5412048877522023,2023-04-04 18:13:14.412640,2023-04-04 18:13:34.655083,0 days 00:00:20.242443,0.04296632575249493,196,43,11,3.150860155810769,1.3438663189506754,9.44041962922775,COMPLETE
33,33,0.47769252628587666,2023-04-04 18:13:34.655404,2023-04-04 18:13:37.580897,0 days 00:00:02.925493,0.29879940901159946,180,35,34,4.3419076745180725,2.2798090920466203,9.475679366109318,COMPLETE
34,34,0.5559818130150611,2023-04-04 18:13:37.581225,2023-04-04 18:13:44.202455,0 days 00:00:06.621230,0.12596189958448345,187,30,69,3.5538676008188173,0.52848845966726,7.987111524729026,COMPLETE
35,35,0.49254049445865294,2023-04-04 18:13:44.202824,2023-04-04 18:13:49.201434,0 days 00:00:04.998610,0.18212096894294,201,38,31,2.1102724041455243,1.124369514802246,8.946784112681492,COMPLETE
36,36,0.5559107701051436,2023-04-04 18:13:49.201771,2023-04-04 18:14:02.279726,0 days 00:00:13.077955,0.0659883195249305,193,43,60,2.7809947083242275,1.7761839877825851,9.598690010953414,COMPLETE
37,37,0.42924126172208016,2023-04-04 18:14:02.280060,2023-04-04 18:14:06.227011,0 days 00:00:03.946951,0.26808524213312646,218,29,164,4.498022517027705,2.5201670401421925,7.990861762177001,COMPLETE
38,38,0.3900255754475703,2023-04-04 18:14:06.227335,2023-04-04 18:14:09.126741,0 days 00:00:02.899406,0.3364900632316388,207,48,87,5.051248637077791,1.0640350173165223,8.820555064814554,COMPLETE
39,39,0.46824381926683717,2023-04-04 18:14:09.127062,2023-04-04 18:14:26.949711,0 days 00:00:17.822649,0.06431659403062388,231,42,136,5.794185313685083,3.2624642242943476,4.462559937139037,COMPLETE
40,40,0.5119352088661552,2023-04-04 18:14:26.950041,2023-04-04 18:14:33.669856,0 days 00:00:06.719815,0.14845551120758835,186,24,261,3.7944709867926756,5.590161008636619,9.627291358396041,COMPLETE
41,41,0.5559107701051436,2023-04-04 18:14:33.670184,2023-04-04 18:14:44.708688,0 days 00:00:11.038504,0.06773039817184422,186,38,25,3.3144402229095578,0.835110254221592,9.207322375072337,COMPLETE
42,42,0.5412048877522023,2023-04-04 18:14:44.709016,2023-04-04 18:15:01.344149,0 days 00:00:16.635133,0.05213816739529245,191,36,44,3.0363531275216933,1.5519066050569208,8.433179424644166,COMPLETE
43,43,0.5655726058539358,2023-04-04 18:15:01.344472,2023-04-04 18:16:09.984509,0 days 00:01:08.640037,0.01333146184708562,180,32,74,2.174621670035874,0.9612577996785923,9.544821845116639,COMPLETE
44,44,0.5317561807331628,2023-04-04 18:16:09.985047,2023-04-04 18:17:19.271313,0 days 00:01:09.286266,0.013872574215845495,180,32,21,2.056020760584234,2.049558396083915,9.669749617202553,COMPLETE
45,45,0.49239840863881784,2023-04-04 18:17:19.272036,2023-04-04 18:17:23.664763,0 days 00:00:04.392727,0.21775898613988892,200,33,64,2.2982153117478683,1.0252312433486623,8.902068206320171,COMPLETE
46,46,0.34619210002841716,2023-04-04 18:17:23.665239,2023-04-04 18:17:31.989175,0 days 00:00:08.323936,0.15167916309194468,269,26,99,2.7754548578703515,1.4899988162651798,9.69475081504117,COMPLETE
47,47,0.5169792554703041,2023-04-04 18:17:31.989504,2023-04-04 18:18:52.179759,0 days 00:01:20.190255,0.011846501267458856,195,40,12,1.7161415992602962,0.878906861504855,8.340380604220663,COMPLETE
48,48,0.5412759306621199,2023-04-04 18:18:52.180106,2023-04-04 18:18:57.866524,0 days 00:00:05.686418,0.14491535547653311,184,34,38,3.5778608673978933,2.009745326598999,7.671033430230304,COMPLETE
49,49,0.551150895140665,2023-04-04 18:18:57.867015,2023-04-04 18:19:13.624682,0 days 00:00:15.757667,0.05698817492723762,191,10,54,2.6377833261009354,0.5106076606636683,8.750226809714029,COMPLETE
50,50,0.40004262574595056,2023-04-04 18:19:13.625021,2023-04-04 18:19:23.567969,0 days 00:00:09.942948,0.11631993419617258,247,31,134,3.890829858224274,1.8688276175632321,9.802344219853643,COMPLETE
51,51,0.5754475703324808,2023-04-04 18:19:23.568328,2023-04-04 18:19:34.397813,0 days 00:00:10.829485,0.07154304453197553,185,35,73,3.25313999573939,0.884762813521687,9.369551253288375,COMPLETE
52,52,0.5509377664109122,2023-04-04 18:19:34.398156,2023-04-04 18:19:49.565672,0 days 00:00:15.167516,0.05127084957746669,184,35,103,2.3576134596510654,0.9642391737042029,9.977493638669245,COMPLETE
53,53,0.5510088093208297,2023-04-04 18:19:49.566003,2023-04-04 18:19:58.545663,0 days 00:00:08.979660,0.0892127605285227,180,28,21,3.411830174855007,1.3769013625763344,9.146776858902706,COMPLETE
54,54,0.4924694515487354,2023-04-04 18:19:58.546000,2023-04-04 18:20:03.657731,0 days 00:00:05.111731,0.1792735194158375,199,36,77,3.0084679821556404,0.8715891704752837,9.442292586304267,COMPLETE
55,55,0.5365160556976414,2023-04-04 18:20:03.658077,2023-04-04 18:20:09.782384,0 days 00:00:06.124307,0.12934651602847205,190,39,96,4.02822534704009,1.3882397946342373,9.01902760509675,COMPLETE
56,56,0.5120062517760727,2023-04-04 18:20:09.782728,2023-04-04 18:21:22.351957,0 days 00:01:12.569229,0.01322013131806187,184,33,214,2.592994474958165,1.7568823578071604,8.207535701094537,COMPLETE
57,57,0.5413469735720375,2023-04-04 18:21:22.352299,2023-04-04 18:21:34.081952,0 days 00:00:11.729653,0.08252106656620985,193,26,52,3.3215838961249347,2.506199799272598,8.676755555657287,COMPLETE
58,58,0.4926115373685706,2023-04-04 18:21:34.082437,2023-04-04 18:21:56.274425,0 days 00:00:22.191988,0.042290369404217085,205,31,181,2.822815118608664,1.0200279343148198,9.667064918808173,COMPLETE
59,59,0.5122904234157432,2023-04-04 18:21:56.274810,2023-04-04 18:22:00.246348,0 days 00:00:03.971538,0.22459953397161966,190,34,43,1.8085033094809866,0.5020774903231958,9.225155986034856,COMPLETE
60,60,0.4730747371412333,2023-04-04 18:22:00.246693,2023-04-04 18:22:05.765346,0 days 00:00:05.518653,0.16676784688601326,211,41,127,2.27356695161635,1.263408569203275,9.997590380843105,COMPLETE
61,61,0.5754475703324808,2023-04-04 18:22:05.765680,2023-04-04 18:22:15.169376,0 days 00:00:09.403696,0.08194766495073288,185,36,73,3.1688070751864306,0.8364702301625039,9.383901634724808,COMPLETE
62,62,0.560670645069622,2023-04-04 18:22:15.169731,2023-04-04 18:22:22.174883,0 days 00:00:07.005152,0.11082314496564888,184,36,78,3.133493978038244,0.8032093336559342,8.570515381886016,COMPLETE
63,63,0.5559107701051436,2023-04-04 18:22:22.175220,2023-04-04 18:22:43.270508,0 days 00:00:21.095288,0.04087663036506409,184,38,155,3.6801933958570743,1.7023382657081536,9.066345901747173,COMPLETE
64,64,0.5268542199488491,2023-04-04 18:22:43.270883,2023-04-04 18:22:53.330716,0 days 00:00:10.059833,0.0838366089820876,197,31,30,3.488000112979644,0.8061987814097513,9.389293858905932,COMPLETE
65,65,0.5169792554703041,2023-04-04 18:22:53.331046,2023-04-04 18:22:59.842319,0 days 00:00:06.511273,0.12459734177356246,189,34,109,2.5559557817461203,1.2943807644681866,9.729031149884966,COMPLETE
66,66,0.516979255470304,2023-04-04 18:22:59.842656,2023-04-04 18:23:21.714954,0 days 00:00:21.872298,0.04449878801637125,194,29,295,2.973272821191448,2.1039463983532594,8.999249929438966,COMPLETE
67,67,0.37574595055413473,2023-04-04 18:23:21.715297,2023-04-04 18:23:35.848821,0 days 00:00:14.133524,0.08885508497299262,293,40,58,3.219050391221859,0.7692684276102363,8.249986952418457,COMPLETE
68,68,0.4146064222790565,2023-04-04 18:23:35.849154,2023-04-04 18:23:42.331182,0 days 00:00:06.482028,0.17992794574379084,260,36,16,2.8975623878206616,1.5853309891592091,9.997928045366859,COMPLETE
69,69,0.53154305200341,2023-04-04 18:23:42.331517,2023-04-04 18:25:14.060491,0 days 00:01:31.728974,0.010079982965395029,180,32,71,3.9587076052042596,1.16827013841098,9.446517868180374,COMPLETE
70,70,0.5170502983802215,2023-04-04 18:25:14.060835,2023-04-04 18:25:20.176796,0 days 00:00:06.115961,0.14443983338064162,202,38,38,3.6383497841340953,0.5499516216419255,8.712863027082097,COMPLETE
71,71,0.5608127308894573,2023-04-04 18:25:20.177285,2023-04-04 18:25:29.929266,0 days 00:00:09.751981,0.07855921149598025,187,37,72,2.5198842803969304,0.744579149947099,9.34438117400573,COMPLETE
72,72,0.53154305200341,2023-04-04 18:25:29.929608,2023-04-04 18:25:52.126108,0 days 00:00:22.196500,0.03816925594432983,188,35,92,3.338940227117509,1.1168133121867876,9.505538333896968,COMPLETE
73,73,0.5608127308894573,2023-04-04 18:25:52.126447,2023-04-04 18:26:02.351346,0 days 00:00:10.224899,0.07597384841769558,183,37,84,3.1154746923378602,1.420801306327931,9.158895059939624,COMPLETE
74,74,0.5706166524580847,2023-04-04 18:26:02.351691,2023-04-04 18:26:09.472774,0 days 00:00:07.121083,0.10712612740667085,187,42,63,2.8296772399081025,0.5052347534828423,9.652622550753042,COMPLETE
75,75,0.48792270531400966,2023-04-04 18:26:09.473259,2023-04-04 18:26:17.530512,0 days 00:00:08.057253,0.11654416387153879,226,43,47,2.692115765543586,0.969321440370279,9.709926611977698,COMPLETE
76,76,0.5266410912190963,2023-04-04 18:26:17.530875,2023-04-04 18:26:34.847597,0 days 00:00:17.316722,0.04563405723898078,193,39,63,2.3235792578189756,0.7356883572574708,8.895099678796324,COMPLETE
77,77,0.5655015629440182,2023-04-04 18:26:34.847960,2023-04-04 18:26:41.795571,0 days 00:00:06.947611,0.10414230512128847,182,45,23,2.891429961034714,1.5417632876632301,8.616688238033305,COMPLETE
78,78,0.46810173344700196,2023-04-04 18:26:41.795921,2023-04-04 18:26:46.375033,0 days 00:00:04.579112,0.1997326651777469,198,33,29,1.9628912454679224,1.1691905819610349,9.712562509354882,COMPLETE
79,79,0.5704035237283319,2023-04-04 18:26:46.375372,2023-04-04 18:27:12.163003,0 days 00:00:25.787631,0.031826512959494034,185,48,10,3.454978154360505,1.9142556758443554,9.236942330203787,COMPLETE
80,80,0.5461778914464336,2023-04-04 18:27:12.163346,2023-04-04 18:27:17.912861,0 days 00:00:05.749515,0.13114566754742324,186,47,10,3.7508366604095635,1.8920321310605364,9.809374626799615,COMPLETE
81,81,0.5996021597044615,2023-04-04 18:27:17.913379,2023-04-04 18:27:37.690443,0 days 00:00:19.777064,0.035277558764648886,182,50,19,3.4707055882560782,0.7163329708030108,9.330857448692415,COMPLETE
82,82,0.5948422847399829,2023-04-04 18:27:37.690805,2023-04-04 18:28:00.551807,0 days 00:00:22.861002,0.03160877935083751,180,50,19,3.359276810143731,0.9800505100258267,9.299815045045607,COMPLETE
83,83,0.555839727195226,2023-04-04 18:28:00.552163,2023-04-04 18:28:11.815021,0 days 00:00:11.262858,0.06336238572693793,191,50,18,3.450606379639723,0.7163901209274756,9.266350726374693,COMPLETE
84,84,0.5556976413753907,2023-04-04 18:28:11.815363,2023-04-04 18:28:29.928899,0 days 00:00:18.113536,0.03754036256668695,184,49,35,3.532124839417516,0.5220044399368933,8.904675555556983,COMPLETE
85,85,0.5608127308894573,2023-04-04 18:28:29.929257,2023-04-04 18:28:37.423043,0 days 00:00:07.493786,0.09688801864574006,187,48,16,3.281590709079462,1.252392231265538,8.426471939755658,COMPLETE
86,86,0.5656436487638533,2023-04-04 18:28:37.423389,2023-04-04 18:28:48.716844,0 days 00:00:11.293455,0.06592387269883714,182,46,247,3.7815151391133153,1.564755534313877,9.471885867679093,COMPLETE
87,87,0.5656436487638534,2023-04-04 18:28:48.717193,2023-04-04 18:29:15.932672,0 days 00:00:27.215479,0.029705819243205114,192,49,10,4.180683062959133,1.0038277758608296,9.142966571811542,COMPLETE
88,88,0.5363029269678886,2023-04-04 18:29:15.933153,2023-04-04 18:29:20.809292,0 days 00:00:04.876139,0.16171843735767186,189,45,27,3.065784550173844,0.7174947840575198,9.838620401482137,COMPLETE
89,89,0.5363739698778062,2023-04-04 18:29:20.809781,2023-04-04 18:29:28.760015,0 days 00:00:07.950234,0.09995822147832281,195,47,41,2.7600015139869125,1.715920115161877,8.78055249207385,COMPLETE
90,90,0.5802074452969593,2023-04-04 18:29:28.760506,2023-04-04 18:30:01.747158,0 days 00:00:32.986652,0.025345364859995598,185,44,32,3.247068866927257,1.3765919336858032,9.509850019692516,COMPLETE
91,91,0.5899403239556692,2023-04-04 18:30:01.747524,2023-04-04 18:30:29.678463,0 days 00:00:27.930939,0.029749617073256088,185,44,23,3.3459796702927496,1.3145471885890554,9.519783455166804,COMPLETE
92,92,0.5802074452969593,2023-04-04 18:30:29.678976,2023-04-04 18:30:41.437481,0 days 00:00:11.758505,0.061826643279866866,180,44,52,3.1419840410352746,1.3124020196487844,9.564181948127235,COMPLETE
93,93,0.5753765274225633,2023-04-04 18:30:41.437966,2023-04-04 18:30:53.045032,0 days 00:00:11.607066,0.06313951518989956,182,46,47,3.2086427004027183,1.367844426647185,9.852342984175335,COMPLETE
94,94,0.4680306905370844,2023-04-04 18:30:53.045375,2023-04-04 18:31:33.443852,0 days 00:00:40.398477,0.027075468618091084,237,44,32,3.611591851154797,1.005984602553549,9.408396309962596,COMPLETE
95,95,0.5704035237283319,2023-04-04 18:31:33.444338,2023-04-04 18:31:44.487406,0 days 00:00:11.043068,0.06629789136881777,182,44,23,2.991862907964754,1.152006377117397,9.04106834916588,COMPLETE
96,96,0.5608127308894572,2023-04-04 18:31:44.487879,2023-04-04 18:32:15.218584,0 days 00:00:30.730705,0.02827304945723767,180,41,52,3.95935662829402,2.1450162918173303,9.502549837950944,COMPLETE
97,97,0.5559818130150611,2023-04-04 18:32:15.218956,2023-04-04 18:32:21.128311,0 days 00:00:05.909355,0.12963582620790892,189,50,39,3.313955159749831,1.4818891078281122,9.998738603401423,COMPLETE
98,98,0.5608837737993748,2023-04-04 18:32:21.128827,2023-04-04 18:32:30.594501,0 days 00:00:09.465674,0.0884939872968193,185,21,18,3.7517184957136647,0.9266742021262293,8.496137699256744,COMPLETE
99,99,0.5265700483091788,2023-04-04 18:32:30.594984,2023-04-04 18:32:45.451005,0 days 00:00:14.856021,0.055609119465890255,196,42,30,3.152325833599849,1.2882010692694883,8.881065191912898,COMPLETE
