,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_gamma,params_max_bpm,params_min_bpm,params_time_window,state
100,100,0.08773799374822394,2023-04-07 21:27:35.234461,2023-04-07 21:28:31.501487,0 days 00:00:56.267026,0.057776055782560495,0.9627164818439083,0.665183319749068,288,15,5,COMPLETE
101,101,0.15608127308894573,2023-04-07 21:28:31.501812,2023-04-07 21:29:20.594260,0 days 00:00:49.092448,0.15377266035981518,0.9528433777565058,0.5976375654341555,276,36,9,COMPLETE
102,102,0.16084114805342428,2023-04-07 21:29:20.594623,2023-04-07 21:30:16.589692,0 days 00:00:55.995069,0.21689451594117984,0.837591982648665,0.6443482344002719,272,21,4,COMPLETE
103,103,0.1656010230179028,2023-04-07 21:30:16.590167,2023-04-07 21:31:13.669078,0 days 00:00:57.078911,0.2527988518993417,0.9167735619378351,0.5781301357423491,276,18,4,COMPLETE
104,104,0.06351236146632566,2023-04-07 21:31:13.669380,2023-04-07 21:32:06.548740,0 days 00:00:52.879360,0.32049255838074864,0.9773345801926825,0.5464067395693604,188,17,10,COMPLETE
105,105,0.18520886615515772,2023-04-07 21:32:06.549063,2023-04-07 21:33:03.004476,0 days 00:00:56.455413,0.363850603309582,0.8590983416029241,0.614939710085175,279,20,3,COMPLETE
106,106,0.1851378232452401,2023-04-07 21:33:03.004806,2023-04-07 21:34:00.101885,0 days 00:00:57.097079,0.30124343388505465,0.8578972729629942,0.6164511593210027,280,19,2,COMPLETE
107,107,0.17533390167661267,2023-04-07 21:34:00.102209,2023-04-07 21:34:57.128874,0 days 00:00:57.026665,0.36060354623132296,0.8485688887732674,0.7218768998310526,281,19,2,COMPLETE
108,108,0.0537794828076158,2023-04-07 21:34:57.129200,2023-04-07 21:35:48.647407,0 days 00:00:51.518207,0.27979449999351286,0.8704274515503508,0.6188804251348129,222,22,3,COMPLETE
109,109,0.17050298380221654,2023-04-07 21:35:48.647875,2023-04-07 21:36:46.001314,0 days 00:00:57.353439,0.09335178456011857,0.7644618650646064,0.6939707851944972,283,20,3,COMPLETE
110,110,0.09761295822676896,2023-04-07 21:36:46.001624,2023-04-07 21:37:41.075402,0 days 00:00:55.073778,0.3905497509359052,0.8846153579087547,0.6707193808179737,293,19,1,COMPLETE
111,111,0.16077010514350668,2023-04-07 21:37:41.075728,2023-04-07 21:38:37.976355,0 days 00:00:56.900627,0.30741133898064055,0.9303161703126184,0.6451526468100649,279,16,2,COMPLETE
112,112,0.17533390167661267,2023-04-07 21:38:37.976677,2023-04-07 21:39:30.968801,0 days 00:00:52.992124,0.29235946102464716,0.8931264692087663,0.6201149716051971,274,14,2,COMPLETE
113,113,0.16567206592782044,2023-04-07 21:39:30.969127,2023-04-07 21:40:27.882112,0 days 00:00:56.912985,0.3319695795111213,0.8136424658363194,0.596150627528171,270,18,3,COMPLETE
114,114,0.11210571184995738,2023-04-07 21:40:27.882424,2023-04-07 21:41:14.379747,0 days 00:00:46.497323,0.2617656646184357,0.954391717928217,0.7396306061708724,287,17,1,COMPLETE
115,115,0.17540494458653025,2023-04-07 21:41:14.380237,2023-04-07 21:42:11.087393,0 days 00:00:56.707156,0.23321475019936008,0.9107771385773107,0.6666186914468613,262,15,4,COMPLETE
116,116,0.1752628587666951,2023-04-07 21:42:11.087727,2023-04-07 21:43:08.389924,0 days 00:00:57.302197,0.3542678538476936,0.9827542907252361,0.5826838790521992,268,20,3,COMPLETE
117,117,0.14144643364592213,2023-04-07 21:43:08.390260,2023-04-07 21:44:04.858155,0 days 00:00:56.467895,0.3145856205046405,0.8601050200202757,0.7690733993800717,277,13,5,COMPLETE
118,118,0.17547598749644785,2023-04-07 21:44:04.858489,2023-04-07 21:45:02.337065,0 days 00:00:57.478576,0.11443366232368946,0.7782680680074845,0.5525504171599447,280,21,4,COMPLETE
119,119,0.17554703040636543,2023-04-07 21:45:02.337423,2023-04-07 21:45:59.108422,0 days 00:00:56.770999,0.14464563212881476,0.6700481671720009,0.6231005589179726,284,25,3,COMPLETE
120,120,0.17043194089229896,2023-04-07 21:45:59.108748,2023-04-07 21:46:51.632461,0 days 00:00:52.523713,0.17020363721589354,0.9483178858108571,0.700781939242875,274,19,5,COMPLETE
121,121,0.17533390167661267,2023-04-07 21:46:51.632969,2023-04-07 21:47:43.017618,0 days 00:00:51.384649,0.18823869669208793,0.8386792390649043,0.5232822160472639,278,28,6,COMPLETE
122,122,0.15096618357487923,2023-04-07 21:47:43.017979,2023-04-07 21:48:38.342079,0 days 00:00:55.324100,0.20575673363083838,0.8142311724671834,0.6433992945468835,289,23,8,COMPLETE
123,123,0.1510372264847968,2023-04-07 21:48:38.342400,2023-04-07 21:49:34.079385,0 days 00:00:55.736985,0.2412263146121208,0.7964831550521145,0.5990139339001954,272,21,6,COMPLETE
124,124,0.16567206592782044,2023-04-07 21:49:34.079723,2023-04-07 21:50:31.173717,0 days 00:00:57.093994,0.27329336494245465,0.7235762360083086,0.5649428474590553,281,18,2,COMPLETE
125,125,0.15593918726911057,2023-04-07 21:50:31.174054,2023-04-07 21:51:23.922692,0 days 00:00:52.748638,0.07713000318549601,0.9305022772379574,0.6817665084300908,276,31,3,COMPLETE
126,126,0.18996874111963627,2023-04-07 21:51:23.923030,2023-04-07 21:52:19.227792,0 days 00:00:55.304762,0.1352941998579857,0.5976792654309417,0.5363010965916118,265,17,7,COMPLETE
127,127,0.13185564080704745,2023-04-07 21:52:19.228262,2023-04-07 21:53:15.169828,0 days 00:00:55.941566,0.023513360425259616,0.5623309425178886,0.5415066575281728,248,17,7,COMPLETE
128,128,0.14634839443023584,2023-04-07 21:53:15.170163,2023-04-07 21:54:11.330399,0 days 00:00:56.160236,0.12971483701572567,0.9777299258005473,0.6301924421799611,260,16,4,COMPLETE
129,129,0.16552998010798523,2023-04-07 21:54:11.330758,2023-04-07 21:55:06.840237,0 days 00:00:55.509479,0.09459827874995302,0.6416714142570356,0.6086426278259852,264,15,7,COMPLETE
130,130,0.18499573742540495,2023-04-07 21:55:06.840598,2023-04-07 21:56:00.221667,0 days 00:00:53.381069,0.043880738269192476,0.5932851992569682,0.7210305709688003,268,18,3,COMPLETE
131,131,0.17050298380221654,2023-04-07 21:56:00.221998,2023-04-07 21:56:57.173192,0 days 00:00:56.951194,0.06331109132472312,0.5998059337966128,0.7520398613810938,266,18,3,COMPLETE
132,132,0.1606990622335891,2023-04-07 21:56:57.173523,2023-04-07 21:57:54.368484,0 days 00:00:57.194961,0.044695332047758926,0.5474131269072747,0.6552103978050948,269,17,3,COMPLETE
133,133,0.16077010514350668,2023-04-07 21:57:54.368964,2023-04-07 21:58:51.261965,0 days 00:00:56.893001,0.1130724490739162,0.6194176585487915,0.7233482384530504,271,20,3,COMPLETE
134,134,0.16545893719806765,2023-04-07 21:58:51.262306,2023-04-07 21:59:47.504891,0 days 00:00:56.242585,0.13737739969775284,0.5949958909879459,0.679310066504157,264,18,4,COMPLETE
135,135,0.14158851946575732,2023-04-07 21:59:47.505245,2023-04-07 22:00:44.570780,0 days 00:00:57.065535,0.044765083139457526,0.6186972293988428,0.7136841477572772,255,19,2,COMPLETE
136,136,0.16574310883773802,2023-04-07 22:00:44.571101,2023-04-07 22:01:41.294389,0 days 00:00:56.723288,0.15810462837177583,0.6583232308951945,0.5855182042010965,267,16,5,COMPLETE
137,137,0.1605569764137539,2023-04-07 22:01:41.294754,2023-04-07 22:02:38.330918,0 days 00:00:57.036164,0.02039092711178625,0.5691602360314822,0.6455139272780268,274,17,3,COMPLETE
138,138,0.17043194089229896,2023-04-07 22:02:38.331247,2023-04-07 22:03:35.062937,0 days 00:00:56.731690,0.07153865650457907,0.9078081821096796,0.7851372321886311,283,35,4,COMPLETE
139,139,0.14606422279056552,2023-04-07 22:03:35.063450,2023-04-07 22:04:31.090862,0 days 00:00:56.027412,0.28867654679871885,0.6415947090029721,0.697594331357961,278,20,6,COMPLETE
140,140,0.15586814435919294,2023-04-07 22:04:31.091193,2023-04-07 22:05:26.043253,0 days 00:00:54.952060,0.172075896955458,0.6793250222652282,0.7403565621515533,270,19,7,COMPLETE
141,141,0.1752628587666951,2023-04-07 22:05:26.043578,2023-04-07 22:06:20.997676,0 days 00:00:54.954098,0.21757928372142565,0.9990213864254003,0.6067439360025341,275,21,8,COMPLETE
142,142,0.12176754759874964,2023-04-07 22:06:20.998005,2023-04-07 22:07:16.687272,0 days 00:00:55.689267,0.10033211356595279,0.875205851550446,0.5726484230524017,286,19,7,COMPLETE
143,143,0.13633134413185566,2023-04-07 22:07:16.687625,2023-04-07 22:08:11.381306,0 days 00:00:54.693681,0.18594350633762063,0.8364490797430008,0.6247098649108813,280,22,9,COMPLETE
144,144,0.16077010514350668,2023-04-07 22:08:11.381628,2023-04-07 22:09:07.230950,0 days 00:00:55.849322,0.136080104755138,0.963284569249428,0.6618870032714382,273,16,6,COMPLETE
145,145,0.08290707587382778,2023-04-07 22:09:07.231460,2023-04-07 22:09:58.456921,0 days 00:00:51.225461,0.2718549123328649,0.8587618840854135,0.5125503390861403,234,14,7,COMPLETE
146,146,0.16062801932367152,2023-04-07 22:09:58.457254,2023-04-07 22:10:53.237042,0 days 00:00:54.779788,0.3136650060949848,0.695206803131135,0.560511813656932,277,20,9,COMPLETE
147,147,0.15615231599886328,2023-04-07 22:10:53.237370,2023-04-07 22:11:46.687175,0 days 00:00:53.449805,0.24466932521193993,0.5304561585511629,0.5899687216054124,261,17,10,COMPLETE
148,148,0.11714975845410629,2023-04-07 22:11:46.687496,2023-04-07 22:12:42.753544,0 days 00:00:56.066048,0.08247366791548645,0.5787133662903089,0.48451715262433315,282,18,8,COMPLETE
149,149,0.1316425120772947,2023-04-07 22:12:42.753893,2023-04-07 22:13:39.684289,0 days 00:00:56.930396,0.19705446555094894,0.7571898921111999,0.6360805648164491,268,24,3,COMPLETE
150,150,0.14130434782608695,2023-04-07 22:13:39.684632,2023-04-07 22:14:36.331180,0 days 00:00:56.646548,0.15347266718418,0.8943747875607773,0.5380192867970873,291,47,2,COMPLETE
151,151,0.15579710144927536,2023-04-07 22:14:36.331650,2023-04-07 22:15:32.152957,0 days 00:00:55.821307,0.11740967225773527,0.7401276266186309,0.8367090053958898,271,13,7,COMPLETE
152,152,0.14613526570048307,2023-04-07 22:15:32.153284,2023-04-07 22:16:27.041483,0 days 00:00:54.888199,0.04518910842551223,0.7811178859485546,0.777120603399392,263,12,7,COMPLETE
153,153,0.18506678033532253,2023-04-07 22:16:27.041830,2023-04-07 22:17:22.252871,0 days 00:00:55.211041,0.08745618222149598,0.7041373784897085,0.6146799707327588,266,10,7,COMPLETE
154,154,0.13654447286160842,2023-04-07 22:17:22.253205,2023-04-07 22:18:18.270789,0 days 00:00:56.017584,0.007207530481015106,0.6589617905555769,0.6117861604255925,259,22,7,COMPLETE
155,155,0.180306905370844,2023-04-07 22:18:18.271115,2023-04-07 22:19:10.512963,0 days 00:00:52.241848,0.09129429315961746,0.7074292443820507,0.6662621979078461,266,11,6,COMPLETE
156,156,0.1898976982097187,2023-04-07 22:19:10.513294,2023-04-07 22:20:06.417001,0 days 00:00:55.903707,0.07132520649595343,0.6301183898646591,0.6701253414326708,266,10,6,COMPLETE
157,157,0.15608127308894573,2023-04-07 22:20:06.417498,2023-04-07 22:20:56.840709,0 days 00:00:50.423211,0.06588008894945985,0.6307873907512143,0.6751110117575898,250,10,6,COMPLETE
158,158,0.17036089798238138,2023-04-07 22:20:56.841072,2023-04-07 22:21:52.940788,0 days 00:00:56.099716,0.0881075177835028,0.6984846926237545,0.6904646939906545,266,12,6,COMPLETE
159,159,0.18520886615515772,2023-04-07 22:21:52.941138,2023-04-07 22:22:48.597910,0 days 00:00:55.656772,0.03254295303250106,0.5995488293188459,0.7198401115453047,258,11,6,COMPLETE
160,160,0.18520886615515772,2023-04-07 22:22:48.598242,2023-04-07 22:23:44.862950,0 days 00:00:56.264708,0.04256827509234021,0.6022312164461121,0.6548007365979747,258,11,6,COMPLETE
161,161,0.18520886615515772,2023-04-07 22:23:44.863284,2023-04-07 22:24:40.696769,0 days 00:00:55.833485,0.02970142187220347,0.6109159734811498,0.6565915484809739,258,11,6,COMPLETE
162,162,0.16581415174765557,2023-04-07 22:24:40.697109,2023-04-07 22:25:36.400909,0 days 00:00:55.703800,0.03404007249197409,0.6054981337310558,0.6507938328783078,254,12,6,COMPLETE
163,163,0.17050298380221654,2023-04-07 22:25:36.401400,2023-04-07 22:26:32.415219,0 days 00:00:56.013819,0.0007598121611947922,0.5900026524655206,0.7190410411842222,259,10,6,COMPLETE
164,164,0.1170787155441887,2023-04-07 22:26:32.415559,2023-04-07 22:27:28.055992,0 days 00:00:55.640433,0.026340670986862828,0.610777631329027,0.6484381632319096,244,11,6,COMPLETE
165,165,0.1803779482807616,2023-04-07 22:27:28.056355,2023-04-07 22:28:23.695012,0 days 00:00:55.638657,0.05619497812903732,0.5618737667950698,0.6131840329360921,257,10,6,COMPLETE
166,166,0.1803779482807616,2023-04-07 22:28:23.695364,2023-04-07 22:29:19.825045,0 days 00:00:56.129681,0.0483636762371909,0.5767867533279972,0.6162111692647595,257,10,6,COMPLETE
167,167,0.14627735152031826,2023-04-07 22:29:19.825401,2023-04-07 22:30:15.061169,0 days 00:00:55.235768,0.05764552716144664,0.569787796504566,0.5941681594258282,252,11,6,COMPLETE
168,168,0.165743108837738,2023-04-07 22:30:15.061505,2023-04-07 22:31:05.983854,0 days 00:00:50.922349,0.035630188378756755,0.5470871760026013,0.6945418293352896,255,10,6,COMPLETE
169,169,0.16581415174765557,2023-04-07 22:31:05.984359,2023-04-07 22:32:02.136694,0 days 00:00:56.152335,0.019398252050326057,0.593394046719617,0.6171432424765658,252,10,6,COMPLETE
170,170,0.17547598749644788,2023-04-07 22:32:02.137041,2023-04-07 22:32:58.123064,0 days 00:00:55.986023,0.06916288880064217,0.6259922034730468,0.6772790296366141,258,11,6,COMPLETE
171,171,0.18520886615515772,2023-04-07 22:32:58.123430,2023-04-07 22:33:53.987083,0 days 00:00:55.863653,0.0532823078707233,0.6441272210606577,0.6321952682165541,257,10,6,COMPLETE
172,172,0.15565501562944017,2023-04-07 22:33:53.987424,2023-04-07 22:34:49.797099,0 days 00:00:55.809675,0.04603012628412643,0.6520765784168567,0.631097757436858,256,10,6,COMPLETE
173,173,0.18499573742540495,2023-04-07 22:34:49.797430,2023-04-07 22:35:41.334623,0 days 00:00:51.537193,0.05105468310976426,0.6051330670229358,0.5854606067496746,261,11,6,COMPLETE
174,174,0.18499573742540495,2023-04-07 22:35:41.334996,2023-04-07 22:36:32.620824,0 days 00:00:51.285828,0.052606855715720366,0.6082269061481573,0.5804014062599254,261,11,6,COMPLETE
175,175,0.1606990622335891,2023-04-07 22:36:32.621307,2023-04-07 22:37:28.781205,0 days 00:00:56.159898,0.022231674116679593,0.6155008775176778,0.5727339221476069,260,11,6,COMPLETE
176,176,0.18996874111963627,2023-04-07 22:37:28.781582,2023-04-07 22:38:25.001473,0 days 00:00:56.219891,0.061954543948204696,0.6353494478647244,0.5519590251761916,260,12,6,COMPLETE
177,177,0.17050298380221654,2023-04-07 22:38:25.001808,2023-04-07 22:39:21.168584,0 days 00:00:56.166776,0.07458508556626897,0.6401413382776232,0.5254010692761215,264,12,5,COMPLETE
178,178,0.16574310883773802,2023-04-07 22:39:21.168929,2023-04-07 22:40:17.445408,0 days 00:00:56.276479,0.003959730847483588,0.6739471425398741,0.5512384308515592,263,12,6,COMPLETE
179,179,0.18506678033532253,2023-04-07 22:40:17.445747,2023-04-07 22:41:13.200936,0 days 00:00:55.755189,0.1042177339564733,0.6496243500816342,0.5568473447772458,261,13,6,COMPLETE
180,180,0.1851378232452401,2023-04-07 22:41:13.201281,2023-04-07 22:42:08.649403,0 days 00:00:55.448122,0.11267555727076946,0.6578802753024707,0.5804157208766957,261,13,6,COMPLETE
181,181,0.15082409775504405,2023-04-07 22:42:08.649901,2023-04-07 22:43:04.792552,0 days 00:00:56.142651,0.10529846621154212,0.6624060079227728,0.5776271369155835,259,13,6,COMPLETE
182,182,0.17036089798238138,2023-04-07 22:43:04.792883,2023-04-07 22:43:56.111734,0 days 00:00:51.318851,0.11315265689218713,0.6375207889495772,0.549425444378202,261,11,6,COMPLETE
183,183,0.16084114805342428,2023-04-07 22:43:56.112082,2023-04-07 22:44:51.434841,0 days 00:00:55.322759,0.07097652476190529,0.6773704146926557,0.5845918451897519,264,13,6,COMPLETE
184,184,0.1656010230179028,2023-04-07 22:44:51.435181,2023-04-07 22:45:47.254691,0 days 00:00:55.819510,0.035909504867290304,0.6065582884371133,0.5635963852103807,261,12,6,COMPLETE
185,185,0.1752628587666951,2023-04-07 22:45:47.255055,2023-04-07 22:46:38.763802,0 days 00:00:51.508747,0.09825065222369556,0.6226696474811084,0.5171596423102728,261,11,6,COMPLETE
186,186,0.1656010230179028,2023-04-07 22:46:38.764172,2023-04-07 22:47:34.650146,0 days 00:00:55.885974,0.05394993113995455,0.6496075810015309,0.5974393278691573,262,13,6,COMPLETE
187,187,0.14641943734015342,2023-04-07 22:47:34.650648,2023-04-07 22:48:30.483289,0 days 00:00:55.832641,0.08871603370847966,0.7213279960042583,0.5693140168005751,258,14,6,COMPLETE
188,188,0.12190963341858484,2023-04-07 22:48:30.483645,2023-04-07 22:49:25.433325,0 days 00:00:54.949680,0.12572793199580873,0.6870537566291917,0.5017844893599278,255,12,7,COMPLETE
189,189,0.16588519465757315,2023-04-07 22:49:25.433657,2023-04-07 22:50:15.221042,0 days 00:00:49.787385,0.021684942545016093,0.5966012811818991,0.5292421982977038,251,11,7,COMPLETE
190,190,0.17043194089229896,2023-04-07 22:50:15.221398,2023-04-07 22:51:11.474962,0 days 00:00:56.253564,0.0708423291485945,0.6510884480227507,0.5966341281198071,267,10,6,COMPLETE
191,191,0.17540494458653025,2023-04-07 22:51:11.475303,2023-04-07 22:52:07.679171,0 days 00:00:56.203868,0.04636112667778947,0.627993282288129,0.7370697398241637,263,11,5,COMPLETE
192,192,0.14592213697073034,2023-04-07 22:52:07.679528,2023-04-07 22:53:02.998959,0 days 00:00:55.319431,0.131364193904785,0.5869930055038098,0.5501846261916713,258,12,6,COMPLETE
193,193,0.1656010230179028,2023-04-07 22:53:02.999483,2023-04-07 22:53:55.909278,0 days 00:00:52.909795,0.43990943734508525,0.6611341817430335,0.6372514847952021,265,10,5,COMPLETE
194,194,0.1656010230179028,2023-04-07 22:53:55.909635,2023-04-07 22:54:51.806340,0 days 00:00:55.896705,0.10141174458893482,0.6022723700869396,0.7584845985264574,260,11,6,COMPLETE
195,195,0.18499573742540495,2023-04-07 22:54:51.806762,2023-04-07 22:55:46.814713,0 days 00:00:55.007951,0.07952884807546093,0.6256291036842192,0.5889477323964896,268,14,7,COMPLETE
196,196,0.17050298380221654,2023-04-07 22:55:46.815057,2023-04-07 22:56:38.636835,0 days 00:00:51.821778,0.08041312868269612,0.6831840190640105,0.5876394623999592,268,13,7,COMPLETE
197,197,0.1606990622335891,2023-04-07 22:56:38.637174,2023-04-07 22:57:34.206399,0 days 00:00:55.569225,0.05852400922648263,0.6385798589784442,0.6075314313003416,263,14,7,COMPLETE
198,198,0.1364023870417732,2023-04-07 22:57:34.206803,2023-04-07 22:58:29.579368,0 days 00:00:55.372565,0.031790312472535,0.6047801744729877,0.5674882738599082,266,13,7,COMPLETE
199,199,0.12190963341858484,2023-04-07 22:58:29.579834,2023-04-07 22:59:24.691966,0 days 00:00:55.112132,0.11744416301392294,0.7081098710083875,0.5344515950162141,255,12,7,COMPLETE
