,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_bpm_step,params_gamma,params_max_bpm,params_min_bpm,params_resonance_prior_beta,params_resonance_prior_bpm_ext,params_smooth_bpm_window,params_smooth_time_window,state
0,0,0.1852799090650753,2023-04-07 17:09:40.723479,2023-04-07 17:09:43.122730,0 days 00:00:02.399251,0.8882429238767338,0.027557316120728537,0.6434838157663607,0.2597243031400598,265,22,2.742378031140666,175,9.136584539692796,6.764225781256732,COMPLETE
1,1,0.351236146632566,2023-04-07 17:09:43.123071,2023-04-07 17:09:46.941373,0 days 00:00:03.818302,0.6197155808882158,0.7331605803118951,0.4166041871991498,0.5310981718209014,279,16,7.465453278260312,139,8.29274546012108,0.9560908132056527,COMPLETE
2,2,0.3317703893151463,2023-04-07 17:09:46.941718,2023-04-07 17:09:49.282295,0 days 00:00:02.340577,0.5856949914235435,0.04352021823230234,0.6167093749236432,0.8176540979146065,245,18,2.0690239224523053,145,1.8790039261696996,3.944019424359549,COMPLETE
3,3,0.3609690252912759,2023-04-07 17:09:49.282654,2023-04-07 17:09:51.880091,0 days 00:00:02.597437,0.618345842382892,0.9444541746226632,0.5478556676865064,0.7852091817461475,278,47,6.151309436306912,117,6.083446714049746,4.306268975470708,COMPLETE
4,4,0.2880079568059108,2023-04-07 17:09:51.880434,2023-04-07 17:09:53.725420,0 days 00:00:01.844986,0.979936247416492,0.0037595697032296593,0.9901380247052177,0.31921723553122683,289,18,7.317001057092899,81,8.803525646023669,4.742918677451942,COMPLETE
5,5,0.23429951690821257,2023-04-07 17:09:53.725764,2023-04-07 17:09:58.438966,0 days 00:00:04.713202,0.47861404884224434,0.32928979079084897,0.30882101098899695,0.9463303738632518,300,39,2.978484491667254,184,2.6479042111975595,2.1628604149323203,COMPLETE
6,6,0.42433930093776645,2023-04-07 17:09:58.439331,2023-04-07 17:10:01.315110,0 days 00:00:02.875779,0.048811785579619626,0.03829660132378765,0.45840006561322844,0.1774542940665338,253,34,5.7209583944323885,73,2.4454923848642145,0.9641920106693489,COMPLETE
7,7,0.23898834896277354,2023-04-07 17:10:01.315460,2023-04-07 17:10:03.392886,0 days 00:00:02.077426,0.5830759834521112,0.4063619700313237,0.6587764446054345,0.6679491789674864,249,41,8.001248861001548,169,8.450043023724545,7.360754363103268,COMPLETE
8,8,0.25859619210002843,2023-04-07 17:10:03.393232,2023-04-07 17:10:05.692042,0 days 00:00:02.298810,0.8806746283528941,0.04326034811958401,0.6154941293850508,0.3675637139445811,242,19,6.7945022447416825,241,5.407136001971928,3.1989304252891313,COMPLETE
9,9,0.00973287865870986,2023-04-07 17:10:05.692391,2023-04-07 17:10:08.561723,0 days 00:00:02.869332,0.7309227239776389,0.39013266025825133,0.4598685789762692,0.8648104936441495,263,50,5.64787416238924,55,5.455246749412842,4.073799160718997,COMPLETE
10,10,0.37560386473429946,2023-04-07 17:10:08.562094,2023-04-07 17:10:15.037661,0 days 00:00:06.475567,0.0030711328631960466,0.2538495212392996,0.18715320660228524,0.05358860447382072,257,30,9.57355954264087,96,1.0679019964709444,9.978788895885437,COMPLETE
11,11,0.3901676612674055,2023-04-07 17:10:15.038147,2023-04-07 17:10:23.988575,0 days 00:00:08.950428,0.029903193746448453,0.235255846070326,0.13079405829267687,0.011913041355047727,256,30,9.28992669913181,92,0.7929366122930201,9.576334809425726,COMPLETE
12,12,0.3072605853935777,2023-04-07 17:10:23.989066,2023-04-07 17:10:35.264425,0 days 00:00:11.275359,0.005549457947972583,0.21130089734222435,0.10588977803613309,0.06613106096227123,257,29,4.4415099445621316,50,0.6838440907857863,0.5389242780376851,COMPLETE
13,13,0.27301790281329924,2023-04-07 17:10:35.264780,2023-04-07 17:10:40.125649,0 days 00:00:04.860869,0.16712383763907412,0.18650543762297805,0.24300542929767643,0.007216232783623844,254,37,0.2817154110597482,79,2.8998457437990557,6.386775977139246,COMPLETE
14,14,0.3315572605853936,2023-04-07 17:10:40.126004,2023-04-07 17:10:44.374784,0 days 00:00:04.248780,0.23739142003348535,0.5019261476223869,0.325266135143196,0.16619099172308627,272,26,9.638500660866033,113,3.6247655731380144,8.847385614948248,COMPLETE
15,15,0.4486359761295822,2023-04-07 17:10:44.375139,2023-04-07 17:10:52.757141,0 days 00:00:08.382002,0.24833519183210132,0.1684778015330699,0.12778135083125672,0.15572776806931524,240,35,8.481530525246658,74,0.5805252069403435,5.492281023319799,COMPLETE
16,16,0.32693947144075025,2023-04-07 17:10:52.757501,2023-04-07 17:10:57.594853,0 days 00:00:04.837352,0.3322440590022223,0.13895568402290737,0.24294980148134804,0.1904158536700532,240,36,4.790068840477824,226,4.0081253589322525,5.511131687239173,COMPLETE
17,17,0.4192242114236999,2023-04-07 17:10:57.595212,2023-04-07 17:11:01.065331,0 days 00:00:03.470119,0.17354477740736574,0.12977230315040875,0.40750056693146264,0.36833376452853717,248,10,8.016513904661132,68,1.665378025069549,2.730728930932981,COMPLETE
18,18,0.4001847115657857,2023-04-07 17:11:01.065691,2023-04-07 17:11:10.752896,0 days 00:00:09.687205,0.3200892710294846,0.5232739486516564,0.11169756670554032,0.1536899582582633,250,44,8.620063284241557,117,1.9142961874769462,5.473897924374736,COMPLETE
19,19,0.37070190394998576,2023-04-07 17:11:10.753259,2023-04-07 17:11:15.053850,0 days 00:00:04.300591,0.1350857713382202,0.12517472935793553,0.309955970959659,0.45989457649369647,266,34,6.386963359831936,104,0.6347011512200846,1.8424659281759315,COMPLETE
20,20,0.4244813867576016,2023-04-07 17:11:15.054209,2023-04-07 17:11:20.586530,0 days 00:00:05.532321,0.38731460481285007,0.32721641537327,0.212373083250029,0.24402942879971412,240,33,5.113855631349212,130,4.270558054870302,3.490045895370634,COMPLETE
21,21,0.4294543904518329,2023-04-07 17:11:20.586902,2023-04-07 17:11:26.251925,0 days 00:00:05.665023,0.38919111106239873,0.29068464096911906,0.207834028048691,0.2565287318293904,240,33,4.944081378477674,131,3.9176646439608964,3.3893976968617863,COMPLETE
22,22,0.37098607558965613,2023-04-07 17:11:26.252414,2023-04-07 17:11:31.936189,0 days 00:00:05.683775,0.4061815382818059,0.37280439663890996,0.21503423663450347,0.2604984061510313,240,26,4.380653127737298,193,4.198862714038695,3.2847873632651123,COMPLETE
23,23,0.3709150326797386,2023-04-07 17:11:31.936556,2023-04-07 17:11:38.708245,0 days 00:00:06.771689,0.3893607339200903,0.29281252402085,0.1769262147081195,0.277581551073761,246,42,5.0629059057785035,159,4.513668117803309,5.081755420578729,COMPLETE
24,24,0.4050156294401819,2023-04-07 17:11:38.708619,2023-04-07 17:11:45.360426,0 days 00:00:06.651807,0.27751201283188354,0.32077206940641695,0.17389284221774098,0.09836691265573946,245,34,6.93412654356764,131,3.2952531245439536,3.5139684207892556,COMPLETE
25,25,0.3952117078715544,2023-04-07 17:11:45.360788,2023-04-07 17:11:57.506040,0 days 00:00:12.145252,0.44398268236355304,0.4549662127394922,0.10269064617722995,0.1235173948070648,241,25,8.592889580400433,210,3.318810072043127,4.650170885936499,COMPLETE
26,26,0.37560386473429946,2023-04-07 17:11:57.506552,2023-04-07 17:12:02.374870,0 days 00:00:04.868318,0.3562561026824502,0.26030762635850674,0.26660328964754926,0.22185007283280822,261,38,5.463429249014913,132,4.667272547613696,2.8963726522683793,COMPLETE
27,27,0.3513071895424837,2023-04-07 17:12:02.375239,2023-04-07 17:12:09.220616,0 days 00:00:06.845377,0.24898854065111037,0.18360545824644234,0.19127190545296457,0.10201134769273043,251,33,3.911380416794522,154,6.05329313352374,3.778234161471918,COMPLETE
28,28,0.4342142654163115,2023-04-07 17:12:09.220978,2023-04-07 17:12:13.657230,0 days 00:00:04.436252,0.4922948826326498,0.5554561620849867,0.270488756414178,0.35448454284216774,246,32,6.279732202537039,122,1.4110108467183746,2.3319744682813286,COMPLETE
29,29,0.3952117078715544,2023-04-07 17:12:13.657594,2023-04-07 17:12:17.378276,0 days 00:00:03.720682,0.47447322210587073,0.5564847296062371,0.3481860981634705,0.3624391759712602,246,23,6.234512932797863,168,1.504311516479195,2.513830590258693,COMPLETE
30,30,0.36579994316567205,2023-04-07 17:12:17.378685,2023-04-07 17:12:22.739310,0 days 00:00:05.360625,0.5238648749297231,0.612814691451569,0.2535758291232785,0.46775311734124025,273,29,6.96945364872557,101,1.254522414094614,1.5000959247391654,COMPLETE
31,31,0.4244813867576016,2023-04-07 17:12:22.739678,2023-04-07 17:12:30.440513,0 days 00:00:07.700835,0.3920759507098797,0.3541222240852477,0.1500873035353473,0.2611178334726528,244,32,5.658887784912698,127,2.458745604704255,2.5424686173302335,COMPLETE
32,32,0.41965046888320545,2023-04-07 17:12:30.441024,2023-04-07 17:12:35.994037,0 days 00:00:05.553013,0.33257346870688576,0.4372530576834966,0.20429521647508972,0.21442131827771374,241,31,7.654462467773731,142,2.2091945780796522,3.4369896608157346,COMPLETE
33,33,0.3903807899971583,2023-04-07 17:12:35.994398,2023-04-07 17:12:40.209079,0 days 00:00:04.214681,0.5206627581297887,0.2961096729991696,0.2770858399996057,0.2990011411318861,244,40,6.456902301021152,151,1.5152357665026788,2.0994379437105577,COMPLETE
34,34,0.4148195510088093,2023-04-07 17:12:40.209455,2023-04-07 17:12:47.103148,0 days 00:00:06.893693,0.4266219470967548,0.44857501130927074,0.16379774954725657,0.411779282275067,248,36,3.786209283660221,121,0.5669415595099966,4.303356404864162,COMPLETE
35,35,0.434285308326229,2023-04-07 17:12:47.103501,2023-04-07 17:12:52.913798,0 days 00:00:05.810297,0.2872972924821814,0.6518896438360591,0.21377145013981572,0.32146868311887034,260,27,5.107957853399535,88,1.9435671436497723,3.8210010607938747,COMPLETE
36,36,0.4193662972435351,2023-04-07 17:12:52.914162,2023-04-07 17:13:05.345612,0 days 00:00:12.431450,0.28232810332441827,0.6635884225367825,0.10073480623864949,0.5439756175630226,261,27,5.8600477513448,85,2.04368096069988,3.956253060208515,COMPLETE
37,37,0.37546177891446436,2023-04-07 17:13:05.345970,2023-04-07 17:13:09.626235,0 days 00:00:04.280265,0.224029895602966,0.7291908095141943,0.35651404251217084,0.3014240337419119,287,22,7.427256778117874,67,1.1985844696602583,2.8856332247330463,COMPLETE
38,38,0.41943734015345274,2023-04-07 17:13:09.626615,2023-04-07 17:13:14.279731,0 days 00:00:04.653116,0.31144398083419034,0.8523929936760098,0.2618814225296189,0.3263627148249543,266,44,6.350102825066224,107,2.9042828347768275,4.687056994742124,COMPLETE
39,39,0.38533674339300944,2023-04-07 17:13:14.280114,2023-04-07 17:13:22.555764,0 days 00:00:08.275650,0.45010561037296093,0.5748419001743946,0.14841411308115515,0.22115037181325548,253,15,9.944879569225211,89,1.9353037262563544,1.4475798445468087,COMPLETE
40,40,0.40458937198067635,2023-04-07 17:13:22.556129,2023-04-07 17:13:27.369380,0 days 00:00:04.813251,0.09400469185263305,0.4915708717269493,0.29370445142537316,0.1519774229524276,279,28,5.287023591828293,58,2.3276344462716585,4.245938469531555,COMPLETE
41,41,0.419721511793123,2023-04-07 17:13:27.369738,2023-04-07 17:13:32.505633,0 days 00:00:05.135895,0.34819444838478963,0.3905394959426405,0.22457159738516722,0.2313802782573729,243,32,5.054526804910255,109,1.1595336652535004,3.415777704843937,COMPLETE
42,42,0.41474850809889174,2023-04-07 17:13:32.505995,2023-04-07 17:13:37.981449,0 days 00:00:05.475454,0.37318202042857235,0.34237046643341873,0.21021646017046966,0.3374078573663325,247,35,5.978653384593944,141,2.9041540047978645,2.4004469066190532,COMPLETE
43,43,0.4828076157999431,2023-04-07 17:13:37.981811,2023-04-07 17:13:45.173129,0 days 00:00:07.191318,0.4921720958368527,0.08350090554212997,0.15298393758708836,0.27638441204696046,251,38,4.6012200772430925,78,1.6795099729791119,2.989699748481026,COMPLETE
44,44,0.512290423415743,2023-04-07 17:13:45.173486,2023-04-07 17:13:54.118024,0 days 00:00:08.944538,0.5649559894244797,0.07958552556622826,0.12593268668088578,0.4028870356914823,251,39,3.2855353951756676,74,1.786499021740131,2.9836086435895406,COMPLETE
45,45,0.5561238988348963,2023-04-07 17:13:54.118378,2023-04-07 17:14:01.948529,0 days 00:00:07.830151,0.5557680139914247,0.021908008416865826,0.14673251874783289,0.396516601973322,260,43,2.5952579078949394,78,1.6948257870161083,2.986810637247685,COMPLETE
46,46,0.46824381926683717,2023-04-07 17:14:01.948914,2023-04-07 17:14:09.872505,0 days 00:00:07.923591,0.6514544593815893,0.009636278146876592,0.14051794356728214,0.3956120818026009,259,47,2.526395443385985,74,1.0116479078773364,3.053413934150581,COMPLETE
47,47,0.49261153736857066,2023-04-07 17:14:09.872864,2023-04-07 17:14:18.115314,0 days 00:00:08.242450,0.6594185675407489,0.0005704258728639472,0.1424575462398207,0.4304827169605737,269,48,2.591344677143967,76,0.8964680897342587,3.032702987935843,COMPLETE
48,48,0.11693662972435352,2023-04-07 17:14:18.115680,2023-04-07 17:14:25.953963,0 days 00:00:07.838283,0.6564606089434575,0.0022020956189507668,0.1453616940816371,0.40172738184745016,268,50,2.406300965926236,63,1.0118216269895213,2.9382622686684794,COMPLETE
49,49,0.565714691673771,2023-04-07 17:14:25.954340,2023-04-07 17:14:34.171867,0 days 00:00:08.217527,0.5703217646776979,0.07401255858001045,0.14407324645299707,0.5260805983144039,275,47,3.0705873669259915,77,0.9816896585276125,1.9215687035385858,COMPLETE
50,50,0.5658567774936062,2023-04-07 17:14:34.172223,2023-04-07 17:14:40.870207,0 days 00:00:06.697984,0.5690414312040691,0.05023695428339147,0.17964707976647437,0.5592220723095122,276,47,3.0464656379422204,80,1.7683347234566134,1.6024223725821163,COMPLETE
51,51,0.565714691673771,2023-04-07 17:14:40.870782,2023-04-07 17:14:49.068303,0 days 00:00:08.197521,0.5646272114552002,0.07591282633690503,0.14322882484292201,0.5528535582726536,274,48,3.0655227738403217,79,1.6352558443816112,1.8299698944614258,COMPLETE
52,52,0.4924694515487355,2023-04-07 17:14:49.068840,2023-04-07 17:14:56.102335,0 days 00:00:07.033495,0.569895727017805,0.07299326969141143,0.17109123615615612,0.5495205119037809,276,48,3.1275160406410434,98,2.432102787708315,1.8412193434724184,COMPLETE
53,53,0.014634839443023587,2023-04-07 17:14:56.102719,2023-04-07 17:15:07.643138,0 days 00:00:11.540419,0.5754912323967533,0.055154100645033746,0.10730016684907812,0.6237243902324475,285,45,1.803425697790387,51,0.9501345632990223,0.8693444197271937,COMPLETE
54,54,0.12183859050866724,2023-04-07 17:15:07.643646,2023-04-07 17:15:17.101245,0 days 00:00:09.457599,0.6175967146174096,0.09204825263702364,0.12958778679111804,0.5030775986159369,282,48,3.001399835778548,61,1.56015988268563,1.2199867366213013,COMPLETE
55,55,0.551150895140665,2023-04-07 17:15:17.101621,2023-04-07 17:15:22.345010,0 days 00:00:05.243389,0.7029427838009665,0.039607076529873025,0.24545718261765134,0.5945961265203681,275,42,3.419351722641745,80,0.5201755670024757,1.9433152224697627,COMPLETE
56,56,0.4974424552429668,2023-04-07 17:15:22.345399,2023-04-07 17:15:29.195142,0 days 00:00:06.849743,0.7371524848179206,0.04731644259741444,0.17894481638349816,0.5762098833845231,273,42,3.3552351249975447,94,1.9940342293574174,1.919047160103486,COMPLETE
57,57,0.5900824097755044,2023-04-07 17:15:29.195515,2023-04-07 17:15:34.601757,0 days 00:00:05.406242,0.5489916107058921,0.10663621186981401,0.23688038501671776,0.6703486879700121,277,45,1.9712333981036716,84,2.6352927895378184,1.5793230858378178,COMPLETE
58,58,0.5949843705598181,2023-04-07 17:15:34.602142,2023-04-07 17:15:39.688588,0 days 00:00:05.086446,0.5424578526743069,0.11298344063972215,0.2522822056901938,0.7300158959191148,277,46,1.9955439246409201,82,0.5119543400524489,0.6925368707717086,COMPLETE
59,59,0.2584541062801932,2023-04-07 17:15:39.689093,2023-04-07 17:15:44.261053,0 days 00:00:04.571960,0.5396886777765243,0.14751224792815978,0.3045978370308553,0.6972916758466005,295,46,1.8486973101705049,67,2.693707297297949,0.6284989690236162,COMPLETE
60,60,0.6144501278772379,2023-04-07 17:15:44.261421,2023-04-07 17:15:49.653651,0 days 00:00:05.392230,0.6066072939363955,0.10641344811808387,0.23406688937778053,0.7303373959919505,280,50,1.4528093677262541,86,1.4310772468696205,1.007092729083683,COMPLETE
61,61,0.629156010230179,2023-04-07 17:15:49.654012,2023-04-07 17:15:55.049025,0 days 00:00:05.395013,0.5372758924425031,0.11295540524787406,0.2351910363224762,0.7076447581285793,280,50,1.3163346952625514,87,1.3774886542269302,1.0588090395823333,COMPLETE
62,62,0.6242540494458654,2023-04-07 17:15:55.049397,2023-04-07 17:16:00.428377,0 days 00:00:05.378980,0.6029668172687334,0.10985065086919392,0.23578122378047156,0.7214419427750461,280,50,1.393068329346557,84,1.3700963748712658,1.117400466646335,COMPLETE
63,63,0.6144501278772379,2023-04-07 17:16:00.428915,2023-04-07 17:16:05.781259,0 days 00:00:05.352344,0.6054014623615434,0.1255140836531746,0.23326835952451586,0.7330446981448814,280,50,1.4156952464614858,85,1.3276420654850454,0.9914313815710074,COMPLETE
64,64,0.6242540494458653,2023-04-07 17:16:05.781628,2023-04-07 17:16:11.176901,0 days 00:00:05.395273,0.612227452351331,0.12085333888084371,0.23292497919884192,0.73708556533662,279,50,1.3307191579073532,86,1.2696155465580796,1.0049639372325592,COMPLETE
65,65,0.6094060812730889,2023-04-07 17:16:11.177276,2023-04-07 17:16:16.594240,0 days 00:00:05.416964,0.6101622891062044,0.20538457350825345,0.2357101471977625,0.7480215008096285,282,50,1.2000509514914754,94,0.7388335159220963,1.0701963806302983,COMPLETE
